map_h,map_w,risk1,risk2,risk3
15,11,0.25,0,0
15,12,0.25,0,0
15,13,0.25,0,0
15,34,0.337277,0.999944,0
15,35,0.362065,0.999764,0
15,47,0.75,0.729922,0
15,66,0.532817,0.277365,0.998934
15,67,0.61079,0.270591,0.981325
15,68,0.763536,0.27454,0.957296
15,69,0.902852,0.268413,0.970567
15,70,0.972989,0.272946,0.966856
16,12,0.25,0,0
16,13,0.25,0,0
16,34,0.447345,0.99974,0
16,35,0.462216,0.999947,0
16,46,0.749971,0.583285,0
16,47,0.75,0.624284,0
16,66,0.522298,0.388669,1
16,67,0.606581,0.379047,0.999959
16,68,0.754442,0.371127,0.999765
16,69,0.884179,0.356106,0.999934
16,70,0.965084,0.338873,0.999832
17,12,0.25,0,0
17,13,0.25,0,0
17,34,0.54827,0.951459,0
17,35,0.522643,0.977196,0
17,46,0.73554,0.49786,0
17,66,0.516739,0.480877,1
17,67,0.568486,0.482975,0.999993
17,68,0.702556,0.475429,0.999956
17,69,0.828036,0.474354,0.999991
17,70,0.882466,0.463093,1
18,12,0.25,0,0
18,13,0.25,0,0
18,14,0.25,0,0
18,34,0.652509,0.847493,0
18,35,0.616891,0.883121,0
18,46,0.664353,0.414377,0
18,66,0.508691,0.500283,0.99973
18,67,0.557668,0.502924,0.997084
18,68,0.665559,0.514114,0.992312
18,69,0.7692,0.553059,0.996145
18,70,0.778341,0.583215,0.999815
19,13,0.250008,0,0
19,14,0.250063,0,0
19,15,0.25024,0,0
19,34,0.730636,0.770915,0
19,35,0.711186,0.792026,0
19,45,0.522047,0.272047,0
19,56,1,1,0.00979242
19,66,0.526897,0.557506,0.969282
19,67,0.536409,0.565894,0.956169
19,68,0.619213,0.611445,0.946658
19,69,0.637519,0.666479,0.973571
19,70,0.639464,0.680593,0.995968
20,13,0.253878,0,0
20,14,0.266728,0,0
20,15,0.290499,0,0
20,34,0.781547,0.750054,0
20,35,0.810374,0.750271,0
20,45,0.500058,0.250058,0
20,56,1,1,0.0779681
20,57,1,1,0.15679
20,67,0.586151,0.880613,0.793199
20,68,0.534741,0.878727,0.824925
20,69,0.532997,0.819037,0.923319
20,70,0.520599,0.808482,0.983685
21,14,0.33299,0,0
21,15,0.390247,0,0
21,34,0.916568,0.749866,0
21,35,0.958623,0.74997,0
21,49,0.5,0.250041,0.249959
21,57,1,0.998792,0.233171
21,58,1,0.972907,0.249266
21,66,0.711135,0.9944,0.67712
21,67,0.581594,0.983919,0.734428
21,68,0.505858,0.967663,0.780788
21,69,0.451208,0.932118,0.870412
21,70,0.419681,0.897822,0.955156
22,14,0.462763,0,0
22,15,0.520362,0,0
22,16,0.523269,0,0
22,34,0.999471,0.723404,0
22,35,0.999887,0.737321,0
22,48,0.5,0.250991,0.249009
22,49,0.5,0.266632,0.233368
22,57,1,0.969397,0.249956
22,58,1,0.886904,0.25
22,64,0.958131,0.945691,0.516035
22,65,0.850032,0.993526,0.55711
22,66,0.718094,0.999859,0.611143
22,67,0.598831,0.997799,0.671693
22,68,0.484147,0.994097,0.751757
22,69,0.405604,0.987662,0.835028
22,70,0.343179,0.968349,0.901292
23,14,0.628419,0,0
23,15,0.614372,0,0
23,16,0.638202,0,0
23,34,0.995754,0.657567,0
23,41,1,0.25,0
23,42,1,0.249966,0
23,49,0.5,0.386411,0.113589
23,50,0.5,0.437338,0.0626765
23,58,0.999819,0.801008,0.25
23,59,0.999961,0.765095,0.250059
23,62,1,0.622795,0.499756
23,63,0.999748,0.756429,0.5
23,64,0.952422,0.906347,0.500625
23,65,0.83405,0.985222,0.511776
23,66,0.678439,0.999925,0.545174
23,67,0.587629,0.999994,0.605981
23,68,0.474465,0.999972,0.671529
23,69,0.349169,0.999921,0.767012
